web-scraper-order,web-scraper-start-url,product-link,product-link-href,ad-id,Images,title,location,map-link,map-link-href,type,bedrooms,bathrooms,price,utilities,wifi,parking,agreement-type,move-in-date,pet-friendly,size,furnished,appliances,air-conditioning,person-outdoor-space,smoking,Posted-by,Posted-on,hydro,Heat,water,amenities
1655184474-4973,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4 1/2 RDC sur Drolet coin Gilford,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-rdc-sur-drolet-coin-gilford/1618360854,Ad ID 1618360854,4,4 1/2 RDC sur Drolet coin Gilford,"Montreal, QC H2T 2G4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-rdc-sur-drolet-coin-gilford/1618360854#map,Apartment,Bedrooms: 2 + Den,Bathrooms: 1,"$1,650 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,850,No,AppliancesLaundry (In Unit),No,Personal Outdoor SpaceYard,Outdoors only,Téo,7 days ago,Laundry (In Unit),null,null,AmenitiesNot Included
1655192370-7574,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"4 1/2 for rent - LaSalle, QC",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-for-rent-lasalle-qc/1621169475,Ad ID 1621169475,7,"4 1/2 for rent - LaSalle, QC","Lasalle, QC H8P 3J7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-for-rent-lasalle-qc/1621169475#map,Apartment,Bedrooms: 2,Bathrooms: 1,$850 ,Not Included,Not Included,0,1 Year,01-Jul-22,null,900,No,AppliancesNot Included,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,about 10 hours ago,null,Balcony,null,AmenitiesNot Included
1655185749-5394,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"1 Bdrm available at 3440 Durocher Street, Montreal",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bdrm-available-at-3440-durocher-street-montreal/1597891678,Ad ID 1597891678,9,"1 Bdrm available at 3440 Durocher Street, Montreal","3440 Durocher Street, Montreal, QC, H2X 2E2",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bdrm-available-at-3440-durocher-street-montreal/1597891678#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,195 ",Not Included,Not Included,0,1 Year,01-Sep-22,null,Not Available,No,AppliancesNot Included,No,Personal Outdoor SpaceNot Included,No,Terrasses Embassy Apartments,5 days ago,null,null,null,AmenitiesNot Included
1655182516-4309,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4”1/2 à louer dans le Village,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-dans-le-village/1619779022,Ad ID 1619779022,3,4”1/2 à louer dans le Village,"H2L 2B3, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-dans-le-village/1619779022#map,Apartment,Bedrooms: 2 + Den,Bathrooms: 1,$990 ,Not Included,Not Included,0,1 Year,01-Jul-22,null,600,No,AppliancesNot Included,No,Personal Outdoor SpaceNot Included,Outdoors only,Kijiji User,11 days ago,null,null,null,AmenitiesNot Included
1655182457-4288,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Very spacious and bright renovated apartment - One month free!,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/very-spacious-and-bright-renovated-apartment-one-month-free/1619761953,Ad ID 1619761953,7,Very spacious and bright renovated apartment - One month free!,"Avenue de Kent, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/very-spacious-and-bright-renovated-apartment-one-month-free/1619761953#map,Apartment,Bedrooms: 3,Bathrooms: 2,"$2,840 ",Not Included,Not Included,2,1 Year,30-Jun-22,null,"1,710",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceYardBalcony,Outdoors only,Marie-Eve Rancourt,11 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesStorage Space
1655191624-7335,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand Rénové 2 étages Villeray Huge Marché Jean-Talon 2-4 Ch,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-renove-2-etages-villeray-huge-marche-jean-talon-2-4-ch/1621096212,Ad ID 1621096212,15,Grand Rénové 2 étages Villeray Huge Marché Jean-Talon 2-4 Ch,"Montreal, QC H2P 2J9",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-renove-2-etages-villeray-huge-marche-jean-talon-2-4-ch/1621096212#map,Apartment,Bedrooms: 4,Bathrooms: 2.5,"$2,545 ",Not Included,Not Included,1,1 Year,01-Jun-22,null,"1,600",Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceYardBalcony,Outdoors only,Kijiji User,about 12 hours ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesNot Included
1655182708-4375,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,NDG Westmount / Vendome metro (4 ½) $1490/m - État impeccable.,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ndg-westmount-vendome-metro-4-1490-m-etat-impeccable/1617902480,Ad ID 1617902480,7,NDG Westmount / Vendome metro (4 ½) $1490/m - État impeccable.,"2013 Avenue de Vendôme, Montreal, QC H4A 3M4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ndg-westmount-vendome-metro-4-1490-m-etat-impeccable/1617902480#map,Basement,Bedrooms: 1 + Den,Bathrooms: 1,"$1,490 ",Not Included,Not Included,0,1 Year,31-May-22,null,950,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceYard,Outdoors only,Kijiji User,10 days ago,Laundry (In Unit),null,Dishwasher,null
1655181744-4035,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Le Mistral: Apartment for rent in Villeray,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/le-mistral:-apartment-for-rent-in-villeray/1604108178,Ad ID 1604108178,null,Le Mistral: Apartment for rent in Villeray,"1121 rue Mistral, Montreal, QC, H2P 2X7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/le-mistral:-apartment-for-rent-in-villeray/1604108178#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,299 ",HydroHeatWater,Not Included,0,1 Year,31-Aug-22,null,460,No,AppliancesDishwasher,Yes,Personal Outdoor SpaceNot Included,No,Le Mistral,12 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesElevator in Building
1655185222-5215,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Sud-Ouest/Marche Atwater/Directement sur canal Lachine,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/sud-ouest-marche-atwater-directement-sur-canal-lachine/1616268733,Ad ID 1616268733,7,Sud-Ouest/Marche Atwater/Directement sur canal Lachine,"2727 Rue Saint-Patrick, Montréal, QC H3K 0A8, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/sud-ouest-marche-atwater-directement-sur-canal-lachine/1616268733#map,Condo,Bedrooms: 1 + Den,Bathrooms: 1,"$1,995 ",HydroHeatWater,Not Included,0,1 Year,01-Jun-22,null,770,No,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,6 days ago,Laundry (In Unit),Laundry (In Building),"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolConcierge24 Hour SecurityBicycle ParkingElevator in Building
1655185259-5228,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,5 1/2 (3 Bedroom)  | Le Hill-Park A Louer - 4530 Ch. de la Côte-,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-3-bedroom-le-hill-park-a-louer-4530-ch-de-la-cote/1620437688,Ad ID 1620437688,8,5 1/2 (3 Bedroom)  | Le Hill-Park A Louer - 4530 Ch. de la Côte-,"4530 Ch. de la Côte-des-Neiges, Montreal, QC, H3V 1G1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-3-bedroom-le-hill-park-a-louer-4530-ch-de-la-cote/1620437688#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$2,549 ",Not Included,Not Included,0,1 Year,null,null,Not Available,No,AppliancesLaundry (In Building)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Kijiji User,6 days ago,Gym,Laundry (In Building),Dishwasher,AmenitiesGymPoolElevator in Building
1655190337-6913,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"PENDING Studio à louer - 1er Juillet, 780$ tout inclus",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/pending-studio-a-louer-1er-juillet-780-tout-inclus/1620364560,Ad ID 1620364560,3,"PENDING Studio à louer - 1er Juillet, 780$ tout inclus","5161 Rue Berri, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/pending-studio-a-louer-1er-juillet-780-tout-inclus/1620364560#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,$780 ,HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,400,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceBalcony,No,Sasha,about 21 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesElevator in Building
1655188954-6455,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,transfert de bail du 1er juillet au 30 sept et renouvellement,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/transfert-de-bail-du-1er-juillet-au-30-sept-et-renouvellement/1615908255,Ad ID 1615908255,7,transfert de bail du 1er juillet au 30 sept et renouvellement,"Rue De La Gauchetière O, Montréal, QC, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/transfert-de-bail-du-1er-juillet-au-30-sept-et-renouvellement/1615908255#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,000 ",HydroHeatWater,Not Included,0,1 Year,30-Jun-22,null,624,No,AppliancesLaundry (In Building)Fridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,John,2 days ago,Wheelchair accessible,Laundry (In Building),"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",Amenities24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655184480-4975,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Studio  a  louer,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-a-louer/1620322515,Ad ID 1620322515,2,Studio  a  louer,"2354 Avenue Mariette, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-a-louer/1620322515#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,$750 ,HydroHeatWater,Not Included,0,1 Year,01-Jun-22,null,450,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceBalcony,Outdoors only,Joseph,7 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge
1655187319-5931,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Studio 1 1/2,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-1-1-2/1620627430,Ad ID 1620627430,3,Studio 1 1/2,"Rue Panet, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-1-1-2/1620627430#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,$490 ,HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,450,Yes,AppliancesFridge / Freezer,No,Personal Outdoor SpaceNot Included,No,Kijiji User,4 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655192479-7610,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,LOCATION CONDO NEUF 3 1/2 !!!,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/location-condo-neuf-3-1-2/1620665720,Ad ID 1620665720,27,LOCATION CONDO NEUF 3 1/2 !!!,"2320 Rue Tupper, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/location-condo-neuf-3-1-2/1620665720#map,Condo,Bedrooms: 1,Bathrooms: 1,"$1,900 ",Not Included,Not Included,0,1 Year,30-Jun-22,null,591,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,No,Mohammed Zaari Jabiri,a day ago,Laundry (In Unit),Pool,Dishwasher,AmenitiesGymPoolConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655181499-3958,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Fully Furnished Condo for Rent,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/fully-furnished-condo-for-rent/1619441756,Ad ID 1619441756,7,Fully Furnished Condo for Rent,"Pointe-Claire, QC H9R",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/fully-furnished-condo-for-rent/1619441756#map,Condo,Bedrooms: 1 + Den,Bathrooms: 1,"$2,000 ",HydroHeatWater,Not Included,1,1 Year,30-Jun-22,null,700,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Hajar,13 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolBicycle ParkingStorage SpaceElevator in Building
1655182351-4250,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Condo unique bien localisé sur 2 étages avec 2 terrasses,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-unique-bien-localise-sur-2-etages-avec-2-terrasses/1619708602,Ad ID 1619708602,4,Condo unique bien localisé sur 2 étages avec 2 terrasses,"Montreal, QC H4C 2W7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-unique-bien-localise-sur-2-etages-avec-2-terrasses/1619708602#map,Condo,Bedrooms: 1,Bathrooms: 1,"$1,850 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,700,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Josephine,11 days ago,Laundry (In Unit),Balcony,Dishwasher,Amenities24 Hour SecurityBicycle ParkingStorage Space
1655186720-5720,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Appartements De Luxe À Louer 3 1/2,4 1/2",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartements-de-luxe-a-louer-3-1-2-4-1-2/1620629284,Ad ID 1620629284,7,"Appartements De Luxe À Louer 3 1/2,4 1/2","Rue Lajeunesse, Ahuntsic-Cartierville, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartements-de-luxe-a-louer-3-1-2-4-1-2/1620629284#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,700 ",Not Included,Not Included,1,1 Year,01-Jul-22,null,790,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Yes,Karen Ohana,4 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesBicycle Parking
1655190188-6864,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Beautiful 4.5 for Rent in St Leonard above Triplex,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-4-5-for-rent-in-st-leonard-above-triplex/1621108419,Ad ID 1621108419,13,Beautiful 4.5 for Rent in St Leonard above Triplex,"Saint-Leonard, QC H1R 1T5",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-4-5-for-rent-in-st-leonard-above-triplex/1621108419#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,000 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,"1,200",No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,Kijiji User,a day ago,null,Balcony,null,AmenitiesNot Included
1655184584-5010,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Appartement à Louer- Parc Lafontaine,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer-parc-lafontaine/1620341674,Ad ID 1620341674,7,Appartement à Louer- Parc Lafontaine,"H2L 1M2, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer-parc-lafontaine/1620341674#map,Apartment,Bedrooms: 2,Bathrooms: 2,"$1,800 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,900,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Kijiji User,7 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655191749-7376,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,One Bedroom For Rent at LUNA - 1100  ave Dr. Penfield,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/one-bedroom-for-rent-at-luna-1100-ave-dr-penfield/1570798133,Ad ID 1570798133,null,One Bedroom For Rent at LUNA - 1100  ave Dr. Penfield,"1100 ave Dr. Penfield, Montreal, QC, H3A 1A8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/one-bedroom-for-rent-at-luna-1100-ave-dr-penfield/1570798133#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,475 ",HydroHeatWater,Not Included,0,1 Year,null,null,529,No,AppliancesDishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,No,LUNA,about 12 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655186280-5573,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,*1 MOIS GRATUIT*4 1/2 CONSTRUCTION 2022 REVIENT À 1560$/MOIS,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-mois-gratuit-4-1-2-construction-2022-revient-a-1560-mois/1617385946,Ad ID 1617385946,11,*1 MOIS GRATUIT*4 1/2 CONSTRUCTION 2022 REVIENT À 1560$/MOIS,"795 Rue Fullum, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-mois-gratuit-4-1-2-construction-2022-revient-a-1560-mois/1617385946#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,700 ",Not Included,Not Included,0,1 Year,01-Jun-22,null,775,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,5 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesNot Included
